mtt,mu_pt,mu_abseta,weight,pileup
1660.6350986420282,209.97667,1.2697754,303.358,26.0
625.2046108681253,247.50484,1.0983887,303.358,15.0
1553.9313309902757,209.8581,0.7606201,303.358,17.0
1501.3929694935555,58.676746,1.2067871,303.358,12.0
1214.619648562487,64.52505,0.64086914,303.358,15.0
2532.460783357796,168.74222,0.59887695,303.358,21.0
1206.0591826468346,132.73796,0.03375244,303.358,21.0
899.5721830221005,133.65544,1.8537598,303.358,32.0
1633.911903651203,110.61603,0.21643066,303.358,25.0
2198.751679677592,381.4936,0.07771301,303.358,25.0
1810.746045594366,94.678024,1.9909668,303.358,16.0
1592.2949227897648,463.04987,0.82385254,303.358,23.0
4204.81597347415,191.4542,0.040603638,303.358,32.0
939.0247336712458,81.13709,0.5205078,303.358,31.0
515.917049625497,204.13036,0.27355957,303.358,28.0
1414.018537512828,383.0173,0.1293335,303.358,26.0
1462.056335722,302.23367,0.6224365,303.358,23.0
893.7773863340516,130.00497,0.7404785,303.358,26.0
1839.9103244614373,224.94057,1.9343262,303.358,34.0
2683.140120384106,264.5181,0.19290161,303.358,9.0
969.5307317223228,107.7441,0.10397339,303.358,19.0
1556.633447832072,138.87566,0.030536652,303.358,29.0
1748.5906791884158,119.263855,0.46472168,303.358,24.0
1414.1384935167403,91.2814,0.36444092,303.358,19.0
1121.4544001022591,132.98619,0.46038818,303.358,28.0
334.3399558749334,83.22675,0.40356445,303.358,15.0
1351.1653442482223,79.26238,0.56140137,303.358,27.0
363.31202197089453,150.53122,0.26153564,303.358,28.0
2066.255612031738,268.36465,1.7744141,303.358,25.0
462.1366093237006,174.00543,1.2177734,303.358,24.0
1205.3244426220917,263.15625,1.2849121,303.358,35.0
1567.3115100735747,228.34052,0.1635437,303.358,22.0
430.2147041717501,83.19227,0.3428955,303.358,16.0
1006.8669241918097,94.15229,0.7142334,303.358,23.0
1316.0266191950939,351.6363,0.64611816,303.358,40.0
1169.9912995592476,208.51744,0.93151855,303.358,27.0
1657.0137347653522,118.676346,0.1947937,303.358,22.0
1310.0286381318708,350.18433,0.25561523,303.358,13.0
455.61191379462997,70.72285,1.0771484,303.358,17.0
1176.8180494690307,169.75795,0.35723877,303.358,24.0
1074.055334937837,177.60547,0.38000488,303.358,14.0
556.9366399073803,106.05237,0.84350586,303.358,30.0
1041.565105944825,69.4233,0.44055176,-303.358,23.0
1425.3244686166886,276.47296,0.9810791,303.358,31.0
1464.7051266938104,107.127426,1.3222656,303.358,14.0
520.8935986066302,190.81071,0.18502808,303.358,12.0
1521.10937056875,222.06018,0.72021484,303.358,21.0
1740.5600260897636,104.24991,1.2209473,303.358,16.0
1026.0204535216853,74.27712,0.9034424,303.358,20.0
1847.6026580489784,270.76175,0.35083008,303.358,26.0
1614.8591774690688,88.609085,1.0461426,303.358,12.0
2018.4657974245995,60.84415,0.9824219,-303.358,25.0
1722.7309544515492,193.56705,1.0461426,303.358,23.0
1464.3654154147655,218.02522,0.5300293,303.358,17.0
1177.1535208999405,129.4593,0.9654541,303.358,23.0
614.5506811581587,278.99,0.97961426,303.358,11.0
1787.5453761758872,145.11916,1.0690918,303.358,28.0
1273.0627616796826,143.19359,1.6877441,303.358,32.0
1458.928760151367,120.47267,1.0690918,303.358,16.0
1226.9565139622282,69.0392,0.8574219,303.358,17.0
1260.05988497536,152.19324,0.83813477,303.358,19.0
1282.1790508785496,282.89993,0.6281738,303.358,18.0
806.0431897415526,76.015884,0.014980316,303.358,16.0
1435.7664600138075,208.66795,0.71777344,303.358,23.0
1291.664930310353,59.503204,0.11807251,303.358,23.0
1063.1844474498532,163.02261,0.12713623,303.358,19.0
1224.3423593809578,259.48608,1.2004395,303.358,25.0
742.9182413261794,63.90284,1.0722656,303.358,28.0
761.4642316631234,138.26567,1.4733887,303.358,20.0
1134.3218024529262,223.2946,0.29437256,303.358,22.0
1371.3988292044182,230.60844,0.6611328,303.358,29.0
1210.3570717703396,177.01135,1.4714355,303.358,32.0
1559.9101337722386,133.80229,0.6732178,303.358,37.0
919.5946726351297,147.54591,0.5600586,303.358,9.0
2421.868691262507,159.35913,0.46917725,303.358,23.0
1714.1381068113726,248.40533,0.53808594,303.358,13.0
1498.386885924746,214.1399,0.6262207,303.358,19.0
1398.7479830678074,76.60571,0.06235504,303.358,21.0
2563.549169610259,370.64032,1.1799316,303.358,26.0
412.14698298783065,228.12236,0.20617676,303.358,16.0
1830.2573272709576,351.994,0.6020508,303.358,14.0
1329.7499504244104,395.1328,1.0270996,303.358,29.0
1224.5649029715482,329.72107,0.09391785,303.358,26.0
1269.3462025904478,157.28436,0.54467773,303.358,12.0
2048.1174592823827,105.46915,1.1240234,303.358,24.0
1848.7612765618667,335.15048,0.97595215,303.358,13.0
1693.8858391130223,157.1138,1.6188965,303.358,21.0
2081.112155173361,178.44014,0.6003418,303.358,26.0
1659.012043537012,220.65558,0.3180542,303.358,20.0
1605.2278556544206,170.02039,1.3601074,303.358,25.0
1884.6118844345506,116.89152,0.395813,303.358,20.0
1301.1042683875255,89.89174,0.39691162,303.358,24.0
1979.734440610567,279.58133,1.0424805,303.358,20.0
1556.0758464087337,391.51028,0.12452698,-303.358,16.0
842.4927569136662,55.87117,0.6904297,303.358,25.0
1066.1304937054647,133.1489,0.4081421,303.358,21.0
1982.7574751007046,444.36615,0.028938293,303.358,28.0
1571.696354691657,148.63976,0.12872314,303.358,21.0
1812.3008219490487,179.29877,1.3222656,303.358,21.0
823.2543972241047,92.264496,1.314209,303.358,16.0
1266.9563174849686,276.72147,1.3869629,-303.358,28.0
878.6715979122632,158.41461,0.26654053,303.358,31.0
906.2379495577264,60.410072,0.59277344,303.358,20.0
1300.7986632693153,106.78952,0.50183105,303.358,10.0
1387.2930791752465,366.9523,0.21154785,303.358,21.0
556.5502259083133,136.53024,0.7303467,303.358,32.0
1310.9011987247663,149.49133,1.1586914,303.358,11.0
724.5089197775784,63.911774,0.39263916,303.358,20.0
1409.4713964269604,82.58012,0.22445679,303.358,16.0
531.4743717437932,70.25324,0.5946045,303.358,27.0
987.3237260077152,94.08383,1.0935059,303.358,15.0
1629.6316836484802,354.67435,0.3112793,303.358,25.0
1316.4270669752302,181.27864,1.034668,303.358,15.0
631.165906231265,125.99949,1.0583496,303.358,30.0
973.2810804232108,161.8367,0.33111572,303.358,27.0
1408.2162836247508,87.206375,0.32086182,303.358,14.0
1023.6884812560636,97.516426,0.06249237,303.358,23.0
551.8478729237872,90.14773,1.3220215,303.358,31.0
1830.9301869027236,78.58521,0.7512207,303.358,19.0
1493.713875247067,398.9422,0.77404785,303.358,19.0
1823.0059689237255,480.14297,0.56933594,303.358,14.0
2087.2822230975853,168.20337,1.7600098,303.358,25.0
1421.0025950474824,337.38794,0.32440186,303.358,12.0
1831.1392758937684,265.49875,1.5043945,303.358,12.0
1351.0817157219642,224.45607,0.10520935,303.358,25.0
1250.8297585204177,179.78319,0.76293945,303.358,9.0
2510.983876726733,233.76845,1.394043,303.358,32.0
1174.1234690520657,244.2477,1.269043,303.358,16.0
873.5499705301552,82.786,1.3093262,303.358,20.0
363.45216567380766,106.15117,0.41210938,303.358,25.0
1251.897335453526,162.18286,0.64123535,303.358,35.0
911.5606495096085,128.34842,0.12554932,303.358,14.0
1473.038647587221,279.10236,0.8774414,303.358,10.0
1215.4463535495563,141.96672,0.19000244,303.358,36.0
619.7251166952731,285.13318,1.298584,303.358,17.0
676.7913459451966,92.23724,1.0720215,303.358,19.0
1677.538406784241,271.42624,1.2856445,303.358,25.0
1098.457312761084,331.48804,0.7475586,303.358,24.0
1404.6566271608074,108.26799,0.1159668,303.358,18.0
2413.3776787662227,223.97632,0.2843628,303.358,34.0
1548.2269018469308,325.86365,0.8189697,303.358,16.0
1818.9096052295379,182.41516,0.5050049,303.358,22.0
1479.0229453018035,136.17055,0.319458,303.358,26.0
593.621786334217,142.63792,0.2243042,303.358,10.0
1683.5155780797384,78.021996,0.3008423,303.358,19.0
450.5888187469093,146.62148,0.4300537,303.358,19.0
2320.0978236302576,373.54437,0.46246338,303.358,23.0
1513.7465528211328,192.71387,0.4666748,303.358,34.0
408.668981697476,57.55065,0.7668457,303.358,12.0
557.4490333097967,77.20002,0.8175049,303.358,17.0
1712.1530228699867,181.89441,1.2124023,303.358,15.0
1403.3497734395767,307.00424,1.5019531,303.358,31.0
2493.856529668858,156.25058,0.1084137,303.358,11.0
1639.5887345278188,155.6537,0.35583496,-303.358,20.0
1445.4553869390097,163.71962,0.08631897,303.358,23.0
1952.7581641037027,430.02618,1.668457,303.358,21.0
1331.3053658077768,73.241585,1.1550293,303.358,8.0
1082.165408290498,67.46069,1.3605957,303.358,19.0
978.5528727915604,168.16998,0.541626,303.358,24.0
1819.8236517560374,414.65256,1.4399414,303.358,22.0
1843.9737139518936,101.25833,0.51330566,303.358,29.0
924.267871175853,132.71031,0.88061523,303.358,24.0
799.5622170615554,57.053978,0.16351318,303.358,16.0
1242.8218552412654,129.08162,0.85595703,303.358,19.0
1227.6795867314124,228.76985,0.4876709,303.358,28.0
1472.970266340959,214.51036,0.35998535,303.358,29.0
1232.168852620585,237.94633,0.6750488,303.358,26.0
1479.457456263861,382.98862,0.3918457,303.358,15.0
1016.263681895874,127.448456,0.86376953,303.358,23.0
1984.559847901294,168.62294,0.25891113,303.358,22.0
1223.146030612822,101.28261,0.111953735,303.358,17.0
2063.6118635042944,586.9956,1.034668,303.358,24.0
1319.7513787271905,90.05262,0.2546997,303.358,14.0
1560.3171853008532,231.96245,0.8919678,303.358,29.0
1517.1925984143586,144.01366,0.04962921,303.358,28.0
1407.132903192653,106.02481,0.3765869,303.358,22.0
639.0992748808418,125.55182,1.642334,303.358,30.0
835.153238958774,97.85972,1.2932129,303.358,34.0
1654.5378006227568,163.68315,0.8483887,303.358,26.0
1322.3539595635925,64.156715,0.9995117,303.358,19.0
2284.5532236994736,308.5906,1.1274414,303.358,30.0
1202.1729538739578,118.096054,1.0532227,303.358,22.0
1221.7593098133061,84.06547,0.14233398,303.358,35.0
1850.8315940993934,247.7891,0.3972168,303.358,28.0
1385.1319826143565,212.459,0.8552246,303.358,19.0
1052.6664155750939,228.86505,1.2050781,303.358,22.0
1442.1431680810083,382.5071,0.21096802,303.358,28.0
739.2534184314082,259.79617,0.40100098,303.358,16.0
1298.75215564363,101.26377,0.31958008,303.358,36.0
1255.9370218376914,112.77965,0.666626,-303.358,31.0
1001.0385127710892,64.46561,1.0168457,303.358,16.0
1643.2971173004014,206.81897,0.8852539,303.358,25.0
1297.7858192191065,76.36697,0.053390503,303.358,20.0
1602.0228579604266,60.857906,0.7109375,303.358,23.0
620.7376099264459,321.0922,0.2194519,303.358,26.0
455.36082461519294,402.87866,0.05104065,303.358,27.0
2320.805915011605,172.37134,1.8334961,303.358,20.0
1807.1960785888482,133.33766,1.1142578,303.358,23.0
1229.4041417791777,342.81326,0.64001465,303.358,17.0
1222.7646526336594,330.50656,1.2304688,303.358,15.0
1227.1041880986459,93.92101,0.64746094,303.358,17.0
1561.4945771043901,73.26914,1.6396484,303.358,25.0
1209.5633631044388,62.632393,0.8317871,303.358,23.0
1184.1237418373291,147.79019,0.42962646,303.358,17.0
1343.6915408219566,174.18459,0.4954834,-303.358,36.0
1831.7369725232052,157.66087,0.5644531,303.358,25.0
2102.8191958366037,91.19056,0.7215576,303.358,14.0
1371.4601208675665,272.53262,1.1330566,303.358,10.0
444.3238252846245,146.82048,0.43701172,303.358,25.0
1408.3002747960995,183.05212,1.4326172,303.358,19.0
565.6441000022121,108.38626,0.56066895,303.358,21.0
1135.3242902343416,84.7462,0.8516846,303.358,14.0
1087.1341083882674,168.69414,0.47332764,303.358,26.0
1536.6596133843261,83.42652,1.9050293,303.358,14.0
1159.2592838452454,94.56835,0.4204712,303.358,9.0
657.0407062751837,279.98285,0.019062042,303.358,22.0
353.9804382313984,98.24944,0.076171875,303.358,20.0
1835.3739482542526,230.7143,0.3935547,303.358,22.0
1360.6480168763635,307.90805,1.0512695,303.358,18.0
1313.792387967419,160.1867,0.20443726,303.358,20.0
1397.8854747475423,226.08943,0.024814606,303.358,20.0
1367.8725033203302,222.14098,0.94921875,303.358,23.0
2057.3525372993117,90.97176,0.94189453,-303.358,24.0
995.0897136265139,176.66728,0.9766846,303.358,22.0
960.5943343990463,86.614685,1.043457,303.358,21.0
1181.323093467265,96.67851,1.6015625,303.358,20.0
1077.7412282224548,73.03541,0.41290283,303.358,16.0
2740.2871724760917,570.8961,0.6179199,303.358,37.0
494.28323193585044,216.22328,0.12496948,303.358,34.0
798.4223279885506,139.38902,0.4935913,303.358,27.0
2403.017935281863,243.28004,1.9052734,303.358,21.0
1526.160600627201,258.41653,0.6779785,303.358,29.0
1576.469383482615,280.18942,1.0454102,303.358,33.0
1270.9921719707284,81.37367,0.32019043,303.358,37.0
1135.1792109616476,176.61464,0.15533447,303.358,33.0
1749.1877932571597,101.522736,1.3793945,303.358,29.0
928.5004042781965,189.75853,0.53552246,303.358,28.0
964.3799856577683,58.052673,1.1408691,303.358,26.0
1451.326401138317,104.242485,0.5263672,303.358,22.0
372.0305336551139,177.64761,0.2689209,303.358,31.0
1538.4480778801767,177.05435,1.2060547,303.358,30.0
1491.3218429178144,99.8406,0.269104,303.358,23.0
425.8132246128482,74.203804,1.1264648,303.358,25.0
1436.9684562002692,63.379547,1.8618164,303.358,14.0
454.0564347770943,102.26947,0.22558594,303.358,23.0
1103.1042782095576,137.60986,0.8757324,303.358,23.0
437.49842300713163,152.64812,0.6452637,303.358,23.0
889.8039583044113,86.06669,0.05885315,303.358,26.0
981.1111853626419,124.00782,1.3237305,303.358,16.0
1408.0803439918611,172.03874,0.9193115,303.358,11.0
1020.5669568652241,172.09357,0.33996582,303.358,20.0
1298.9094242364572,171.35625,0.025974274,303.358,19.0
875.1179315451942,72.19239,0.4981079,303.358,36.0
1260.9519270128492,253.6773,0.6011963,303.358,12.0
2351.975484662368,208.25505,0.6954346,303.358,22.0
1304.103724302118,163.63,0.6090088,303.358,21.0
1199.3151270230403,82.47075,0.47998047,303.358,25.0
1064.538531354405,79.65357,0.28588867,303.358,23.0
1966.9198753025692,90.21855,0.12722778,303.358,19.0
996.261349539726,79.79677,1.8725586,303.358,15.0
1136.26402883501,228.59337,0.20407104,303.358,21.0
714.4966957204487,117.20527,1.5837402,303.358,25.0
1390.807232664743,164.22147,0.5238037,303.358,21.0
1294.9745840557237,63.558105,0.10865784,303.358,19.0
1174.9173093480154,413.25043,0.35595703,303.358,29.0
2115.758172812776,72.35089,0.8619385,303.358,24.0
1744.569827373176,295.085,2.083496,303.358,22.0
616.8977482832454,77.159996,0.36834717,303.358,26.0
1366.4026490837132,98.09592,1.2199707,303.358,24.0
971.605269421868,66.90783,0.72424316,303.358,20.0
1586.6594100478517,209.61188,0.010530472,303.358,24.0
247.87353919238024,75.55135,0.2783203,303.358,35.0
861.8945095445825,69.23206,0.1699524,303.358,17.0
1299.764446036958,143.30775,0.70983887,303.358,24.0
901.1686230611274,113.367226,0.98254395,303.358,25.0
1303.8577007066083,95.22726,1.5625,303.358,27.0
441.662857030065,56.508446,0.47906494,303.358,18.0
2494.6574356440783,55.92339,0.27746582,303.358,14.0
999.1696144002275,127.23119,0.32574463,303.358,39.0
1462.5511060956278,148.86179,0.95861816,303.358,17.0
1808.2883789985383,157.06273,0.0947113,303.358,27.0
1586.1233984605306,167.92953,0.9593506,303.358,17.0
564.9656914016472,131.34264,1.236084,303.358,25.0
386.8783187405813,91.96529,0.047088623,303.358,28.0
1381.8378847815575,69.45072,0.66503906,303.358,27.0
611.3248840280512,129.18166,0.82629395,303.358,29.0
1274.7347182344852,279.87537,0.8031006,303.358,15.0
1313.4273424692474,91.9941,0.9674072,303.358,31.0
1528.488931990139,130.09004,0.5683594,303.358,23.0
2421.655308824519,177.11029,1.2158203,303.358,16.0
803.5341483619136,63.36046,0.57836914,303.358,15.0
944.4073563381137,81.869156,0.109176636,303.358,24.0
2038.0227458095003,107.086494,0.3945923,303.358,15.0
1088.9569117847338,56.871227,1.5849609,303.358,10.0
1469.8452892811183,145.26901,0.9974365,303.358,10.0
1360.7353551517708,139.19995,0.11256409,303.358,28.0
1930.902731249483,194.28564,0.11619568,303.358,23.0
1193.4980628265914,211.0871,0.040298462,303.358,14.0
1105.1637642799178,79.66024,1.5078125,303.358,19.0
1459.7917052238984,168.72768,1.3300781,303.358,39.0
1692.5943366761924,97.4193,1.5200195,303.358,22.0
1252.9954534546175,106.75816,0.3363037,303.358,27.0
1107.241764568703,137.95273,0.39624023,303.358,15.0
1652.341579227149,221.66296,0.8555908,303.358,16.0
1836.7004130903722,215.49112,1.2080078,303.358,20.0
2377.357416368028,102.18598,1.9057617,303.358,28.0
1433.7666705673414,73.96946,1.1025391,303.358,30.0
972.7343915213589,114.0473,1.2509766,303.358,7.0
